year,district,crop,season,price
2013,Hyderabad,Maize,Rabi,1181
2014,Hyderabad,Maize,Kharif,900
2014,Hyderabad,Maize,Rabi,1181
2015,Hyderabad,Maize,Kharif,1007
2015,Hyderabad,Maize,Rabi,1181
2016,Hyderabad,Maize,Kharif,1042
2016,Hyderabad,Maize,Rabi,1002
2017,Hyderabad,Maize,Kharif,1042
2017,Hyderabad,Maize,Rabi,1002
2018,Hyderabad,Maize,Kharif,1042
2018,Hyderabad,Maize,Rabi,1002
2019,Hyderabad,Maize,Kharif,1042
2019,Hyderabad,Maize,Rabi,1002
2020,Hyderabad,Maize,Kharif,1042
2020,Hyderabad,Maize,Rabi,1002
2021,Hyderabad,Maize,Kharif,1042
2021,Hyderabad,Maize,Rabi,1002
2022,Hyderabad,Maize,Kharif,1042
2022,Hyderabad,Maize,Rabi,1002
2023,Hyderabad,Maize,Kharif,1042
2023,Hyderabad,Maize,Rabi,1002
2024,Hyderabad,Maize,Kharif,1042
2024,Hyderabad,Maize,Rabi,1002
2013,Hyderabad,Onion,Kharif,1890
2013,Hyderabad,Onion,Rabi,1106
2014,Hyderabad,Onion,Kharif,1091
2014,Hyderabad,Onion,Rabi,716
2015,Hyderabad,Onion,Kharif,1374
2015,Hyderabad,Onion,Rabi,1009
2016,Hyderabad,Onion,Kharif,701
2016,Hyderabad,Onion,Rabi,654
2017,Hyderabad,Onion,Kharif,1888
2017,Hyderabad,Onion,Rabi,571
2018,Hyderabad,Onion,Kharif,1516
2018,Hyderabad,Onion,Rabi,728
2019,Hyderabad,Onion,Kharif,1935
2019,Hyderabad,Onion,Rabi,789
2020,Hyderabad,Onion,Kharif,2989
2020,Hyderabad,Onion,Rabi,1099
2021,Hyderabad,Onion,Kharif,2182
2021,Hyderabad,Onion,Rabi,1232
2022,Hyderabad,Onion,Kharif,1542
2022,Hyderabad,Onion,Rabi,1047
2023,Hyderabad,Onion,Kharif,2409
2023,Hyderabad,Onion,Rabi,959
2024,Hyderabad,Onion,Kharif,1525
2024,Hyderabad,Onion,Rabi,1689
2013,Hyderabad,Potato,Kharif,1371
2013,Hyderabad,Potato,Rabi,1124
2013,Hyderabad,Potato,Whole Year,1208
2014,Hyderabad,Potato,Kharif,1794
2014,Hyderabad,Potato,Rabi,1357
2014,Hyderabad,Potato,Whole Year,1593
2015,Hyderabad,Potato,Kharif,986
2015,Hyderabad,Potato,Rabi,838
2015,Hyderabad,Potato,Whole Year,866
2016,Hyderabad,Potato,Kharif,1033
2016,Hyderabad,Potato,Rabi,1186
2016,Hyderabad,Potato,Whole Year,1180
2017,Hyderabad,Potato,Kharif,792
2017,Hyderabad,Potato,Rabi,776
2017,Hyderabad,Potato,Whole Year,769
2018,Hyderabad,Potato,Kharif,1164
2018,Hyderabad,Potato,Rabi,1377
2018,Hyderabad,Potato,Whole Year,1330
2019,Hyderabad,Potato,Kharif,1328
2019,Hyderabad,Potato,Rabi,1075
2019,Hyderabad,Potato,Whole Year,1147
2020,Hyderabad,Potato,Kharif,2668
2020,Hyderabad,Potato,Rabi,1868
2020,Hyderabad,Potato,Whole Year,2296
2021,Hyderabad,Potato,Kharif,1752
2021,Hyderabad,Potato,Rabi,1335
2021,Hyderabad,Potato,Whole Year,1498
2022,Hyderabad,Potato,Kharif,2158
2022,Hyderabad,Potato,Rabi,1817
2022,Hyderabad,Potato,Whole Year,2001
2023,Hyderabad,Potato,Kharif,1664
2023,Hyderabad,Potato,Rabi,1447
2023,Hyderabad,Potato,Whole Year,1570
2024,Hyderabad,Potato,Kharif,1570
2024,Hyderabad,Potato,Rabi,2343
2024,Hyderabad,Potato,Whole Year,2290
2013,Hyderabad,Sesamum,Rabi,6000
2014,Hyderabad,Sesamum,Rabi,6000
2015,Hyderabad,Sesamum,Rabi,6000
2016,Hyderabad,Sesamum,Rabi,6000
2017,Hyderabad,Sesamum,Rabi,6000
2018,Hyderabad,Sesamum,Rabi,6000
2019,Hyderabad,Sesamum,Rabi,6000
2020,Hyderabad,Sesamum,Rabi,6000
2021,Hyderabad,Sesamum,Rabi,6000
2022,Hyderabad,Sesamum,Rabi,6000
2023,Hyderabad,Sesamum,Rabi,6000
2024,Hyderabad,Sesamum,Rabi,6000
2013,Hyderabad,Sweet potato,Kharif,785
2013,Hyderabad,Sweet potato,Rabi,790
2013,Hyderabad,Sweet potato,Whole Year,791
2014,Hyderabad,Sweet potato,Kharif,809
2014,Hyderabad,Sweet potato,Rabi,556
2014,Hyderabad,Sweet potato,Whole Year,690
2015,Hyderabad,Sweet potato,Kharif,703
2015,Hyderabad,Sweet potato,Rabi,648
2015,Hyderabad,Sweet potato,Whole Year,740
2016,Hyderabad,Sweet potato,Kharif,789
2016,Hyderabad,Sweet potato,Rabi,1019
2016,Hyderabad,Sweet potato,Whole Year,906
2017,Hyderabad,Sweet potato,Kharif,961
2017,Hyderabad,Sweet potato,Rabi,902
2017,Hyderabad,Sweet potato,Whole Year,989
2018,Hyderabad,Sweet potato,Kharif,1062
2018,Hyderabad,Sweet potato,Rabi,811
2018,Hyderabad,Sweet potato,Whole Year,961
2019,Hyderabad,Sweet potato,Kharif,1302
2019,Hyderabad,Sweet potato,Rabi,1441
2019,Hyderabad,Sweet potato,Whole Year,1419
2020,Hyderabad,Sweet potato,Kharif,1396
2020,Hyderabad,Sweet potato,Rabi,1078
2020,Hyderabad,Sweet potato,Whole Year,1253
2021,Hyderabad,Sweet potato,Kharif,1429
2021,Hyderabad,Sweet potato,Rabi,1033
2021,Hyderabad,Sweet potato,Whole Year,1495
2022,Hyderabad,Sweet potato,Kharif,1322
2022,Hyderabad,Sweet potato,Rabi,929
2022,Hyderabad,Sweet potato,Whole Year,1307
2023,Hyderabad,Sweet potato,Kharif,1572
2023,Hyderabad,Sweet potato,Rabi,1142
2023,Hyderabad,Sweet potato,Whole Year,1594
2024,Hyderabad,Sweet potato,Kharif,1558
2024,Hyderabad,Sweet potato,Rabi,1658
2024,Hyderabad,Sweet potato,Whole Year,1812
2013,Hyderabad,Turmeric,Kharif,5250
2013,Hyderabad,Turmeric,Rabi,5100
2014,Hyderabad,Turmeric,Kharif,5250
2014,Hyderabad,Turmeric,Rabi,5750
2015,Hyderabad,Turmeric,Kharif,8908
2015,Hyderabad,Turmeric,Rabi,6600
2016,Hyderabad,Turmeric,Kharif,8050
2016,Hyderabad,Turmeric,Rabi,8500
2017,Hyderabad,Turmeric,Kharif,6000
2017,Hyderabad,Turmeric,Rabi,7000
2018,Hyderabad,Turmeric,Kharif,6000
2018,Hyderabad,Turmeric,Rabi,7000
2019,Hyderabad,Turmeric,Kharif,7000
2019,Hyderabad,Turmeric,Rabi,6938
2020,Hyderabad,Turmeric,Kharif,7833
2020,Hyderabad,Turmeric,Rabi,6938
2021,Hyderabad,Turmeric,Kharif,7833
2021,Hyderabad,Turmeric,Rabi,6938
2022,Hyderabad,Turmeric,Kharif,7118
2022,Hyderabad,Turmeric,Rabi,7222
2023,Hyderabad,Turmeric,Kharif,8571
2023,Hyderabad,Turmeric,Rabi,7632
2024,Hyderabad,Turmeric,Kharif,8571
2024,Hyderabad,Turmeric,Rabi,12458
2013,Karimnagar,Arhar/Tur,Kharif,4987
2013,Karimnagar,Arhar/Tur,Rabi,7581
2014,Karimnagar,Arhar/Tur,Kharif,4987
2014,Karimnagar,Arhar/Tur,Rabi,7581
2015,Karimnagar,Arhar/Tur,Kharif,4987
2015,Karimnagar,Arhar/Tur,Rabi,7581
2016,Karimnagar,Arhar/Tur,Kharif,4987
2016,Karimnagar,Arhar/Tur,Rabi,7581
2017,Karimnagar,Arhar/Tur,Kharif,3590
2017,Karimnagar,Arhar/Tur,Rabi,3848
2018,Karimnagar,Arhar/Tur,Kharif,3737
2018,Karimnagar,Arhar/Tur,Rabi,3568
2019,Karimnagar,Arhar/Tur,Kharif,3981
2019,Karimnagar,Arhar/Tur,Rabi,4390
2020,Karimnagar,Arhar/Tur,Kharif,4384
2020,Karimnagar,Arhar/Tur,Rabi,4438
2021,Karimnagar,Arhar/Tur,Kharif,3682
2021,Karimnagar,Arhar/Tur,Rabi,5627
2022,Karimnagar,Arhar/Tur,Kharif,5094
2022,Karimnagar,Arhar/Tur,Rabi,4671
2023,Karimnagar,Arhar/Tur,Kharif,5938
2023,Karimnagar,Arhar/Tur,Rabi,7007
2024,Karimnagar,Arhar/Tur,Kharif,7001
2024,Karimnagar,Arhar/Tur,Rabi,9187
2013,Karimnagar,Bajra,Rabi,1140
2014,Karimnagar,Bajra,Rabi,1140
2015,Karimnagar,Bajra,Rabi,1140
2016,Karimnagar,Bajra,Rabi,1350
2017,Karimnagar,Bajra,Rabi,1350
2018,Karimnagar,Bajra,Rabi,1350
2019,Karimnagar,Bajra,Rabi,1350
2020,Karimnagar,Bajra,Rabi,1350
2021,Karimnagar,Bajra,Rabi,1350
2022,Karimnagar,Bajra,Rabi,1350
2023,Karimnagar,Bajra,Rabi,1350
2024,Karimnagar,Bajra,Rabi,1350
2013,Karimnagar,Castor seed,Kharif,2730
2013,Karimnagar,Castor seed,Rabi,2700
2014,Karimnagar,Castor seed,Kharif,2700
2014,Karimnagar,Castor seed,Rabi,2650
2015,Karimnagar,Castor seed,Kharif,2700
2015,Karimnagar,Castor seed,Rabi,3000
2016,Karimnagar,Castor seed,Kharif,2525
2016,Karimnagar,Castor seed,Rabi,2780
2017,Karimnagar,Castor seed,Kharif,3086
2017,Karimnagar,Castor seed,Rabi,3218
2018,Karimnagar,Castor seed,Kharif,3086
2018,Karimnagar,Castor seed,Rabi,3206
2019,Karimnagar,Castor seed,Kharif,3086
2019,Karimnagar,Castor seed,Rabi,3201
2020,Karimnagar,Castor seed,Kharif,3086
2020,Karimnagar,Castor seed,Rabi,3201
2021,Karimnagar,Castor seed,Kharif,3086
2021,Karimnagar,Castor seed,Rabi,3201
2022,Karimnagar,Castor seed,Kharif,3086
2022,Karimnagar,Castor seed,Rabi,3201
2023,Karimnagar,Castor seed,Kharif,3086
2023,Karimnagar,Castor seed,Rabi,3201
2024,Karimnagar,Castor seed,Kharif,3086
2024,Karimnagar,Castor seed,Rabi,4001
2013,Karimnagar,Coriander,Kharif,1189
2013,Karimnagar,Coriander,Rabi,402
2013,Karimnagar,Coriander,Whole Year,1720
2014,Karimnagar,Coriander,Kharif,1189
2014,Karimnagar,Coriander,Rabi,402
2014,Karimnagar,Coriander,Whole Year,1720
2015,Karimnagar,Coriander,Kharif,1189
2015,Karimnagar,Coriander,Rabi,402
2015,Karimnagar,Coriander,Whole Year,1720
2016,Karimnagar,Coriander,Kharif,1189
2016,Karimnagar,Coriander,Rabi,402
2016,Karimnagar,Coriander,Whole Year,1720
2017,Karimnagar,Coriander,Kharif,1189
2017,Karimnagar,Coriander,Rabi,402
2017,Karimnagar,Coriander,Whole Year,1720
2018,Karimnagar,Coriander,Kharif,1189
2018,Karimnagar,Coriander,Rabi,402
2018,Karimnagar,Coriander,Whole Year,1720
2019,Karimnagar,Coriander,Kharif,1189
2019,Karimnagar,Coriander,Rabi,402
2019,Karimnagar,Coriander,Whole Year,1720
2020,Karimnagar,Coriander,Kharif,1189
2020,Karimnagar,Coriander,Rabi,402
2020,Karimnagar,Coriander,Whole Year,1720
2021,Karimnagar,Coriander,Kharif,1189
2021,Karimnagar,Coriander,Rabi,402
2021,Karimnagar,Coriander,Whole Year,1720
2022,Karimnagar,Coriander,Kharif,359
2022,Karimnagar,Coriander,Rabi,402
2022,Karimnagar,Coriander,Whole Year,525
2023,Karimnagar,Coriander,Kharif,250
2023,Karimnagar,Coriander,Rabi,402
2023,Karimnagar,Coriander,Whole Year,406
2024,Karimnagar,Coriander,Kharif,250
2024,Karimnagar,Coriander,Rabi,402
2024,Karimnagar,Coriander,Whole Year,406
2013,Karimnagar,Cowpea(Lobia),Kharif,3477
2013,Karimnagar,Cowpea(Lobia),Rabi,3607
2014,Karimnagar,Cowpea(Lobia),Kharif,3257
2014,Karimnagar,Cowpea(Lobia),Rabi,3025
2015,Karimnagar,Cowpea(Lobia),Kharif,3768
2015,Karimnagar,Cowpea(Lobia),Rabi,3518
2016,Karimnagar,Cowpea(Lobia),Kharif,4095
2016,Karimnagar,Cowpea(Lobia),Rabi,3883
2017,Karimnagar,Cowpea(Lobia),Kharif,4817
2017,Karimnagar,Cowpea(Lobia),Rabi,4636
2018,Karimnagar,Cowpea(Lobia),Kharif,4817
2018,Karimnagar,Cowpea(Lobia),Rabi,3968
2019,Karimnagar,Cowpea(Lobia),Kharif,4817
2019,Karimnagar,Cowpea(Lobia),Rabi,3489
2020,Karimnagar,Cowpea(Lobia),Kharif,4817
2020,Karimnagar,Cowpea(Lobia),Rabi,3489
2021,Karimnagar,Cowpea(Lobia),Kharif,4817
2021,Karimnagar,Cowpea(Lobia),Rabi,3489
2022,Karimnagar,Cowpea(Lobia),Kharif,5579
2022,Karimnagar,Cowpea(Lobia),Rabi,4540
2023,Karimnagar,Cowpea(Lobia),Kharif,5372
2023,Karimnagar,Cowpea(Lobia),Rabi,4950
2024,Karimnagar,Cowpea(Lobia),Kharif,5631
2024,Karimnagar,Cowpea(Lobia),Rabi,6700
2013,Karimnagar,Gram,Kharif,3337
2013,Karimnagar,Gram,Rabi,2576
2014,Karimnagar,Gram,Kharif,3337
2014,Karimnagar,Gram,Rabi,2576
2015,Karimnagar,Gram,Kharif,3337
2015,Karimnagar,Gram,Rabi,3447
2016,Karimnagar,Gram,Kharif,5593
2016,Karimnagar,Gram,Rabi,4375
2017,Karimnagar,Gram,Kharif,5085
2017,Karimnagar,Gram,Rabi,5177
2018,Karimnagar,Gram,Kharif,3386
2018,Karimnagar,Gram,Rabi,3766
2019,Karimnagar,Gram,Kharif,3386
2019,Karimnagar,Gram,Rabi,3597
2020,Karimnagar,Gram,Kharif,3386
2020,Karimnagar,Gram,Rabi,3597
2021,Karimnagar,Gram,Kharif,3386
2021,Karimnagar,Gram,Rabi,3597
2022,Karimnagar,Gram,Kharif,3386
2022,Karimnagar,Gram,Rabi,4282
2023,Karimnagar,Gram,Kharif,3386
2023,Karimnagar,Gram,Rabi,4096
2024,Karimnagar,Gram,Kharif,3386
2024,Karimnagar,Gram,Rabi,4096
2013,Karimnagar,Groundnut,Kharif,3499
2013,Karimnagar,Groundnut,Rabi,3587
2014,Karimnagar,Groundnut,Kharif,3309
2014,Karimnagar,Groundnut,Rabi,2851
2015,Karimnagar,Groundnut,Kharif,4098
2015,Karimnagar,Groundnut,Rabi,4115
2016,Karimnagar,Groundnut,Kharif,3995
2016,Karimnagar,Groundnut,Rabi,4958
2017,Karimnagar,Groundnut,Kharif,3565
2017,Karimnagar,Groundnut,Rabi,4307
2018,Karimnagar,Groundnut,Kharif,2811
2018,Karimnagar,Groundnut,Rabi,3888
2019,Karimnagar,Groundnut,Kharif,5535
2019,Karimnagar,Groundnut,Rabi,3841
2020,Karimnagar,Groundnut,Kharif,3212
2020,Karimnagar,Groundnut,Rabi,3841
2021,Karimnagar,Groundnut,Kharif,3212
2021,Karimnagar,Groundnut,Rabi,3841
2022,Karimnagar,Groundnut,Kharif,1800
2022,Karimnagar,Groundnut,Rabi,2779
2023,Karimnagar,Groundnut,Kharif,1800
2023,Karimnagar,Groundnut,Rabi,2762
2024,Karimnagar,Groundnut,Kharif,1800
2024,Karimnagar,Groundnut,Rabi,3551
2013,Karimnagar,Horse-gram,Rabi,3900
2014,Karimnagar,Horse-gram,Rabi,3900
2015,Karimnagar,Horse-gram,Rabi,3900
2016,Karimnagar,Horse-gram,Rabi,3900
2017,Karimnagar,Horse-gram,Rabi,3900
2018,Karimnagar,Horse-gram,Rabi,3900
2019,Karimnagar,Horse-gram,Rabi,3900
2020,Karimnagar,Horse-gram,Rabi,3900
2021,Karimnagar,Horse-gram,Rabi,3900
2022,Karimnagar,Horse-gram,Rabi,3302
2023,Karimnagar,Horse-gram,Rabi,3302
2024,Karimnagar,Horse-gram,Rabi,3302
2013,Karimnagar,Jowar,Kharif,1000
2013,Karimnagar,Jowar,Rabi,1787
2014,Karimnagar,Jowar,Kharif,1000
2014,Karimnagar,Jowar,Rabi,1787
2015,Karimnagar,Jowar,Kharif,1000
2015,Karimnagar,Jowar,Rabi,1787
2016,Karimnagar,Jowar,Kharif,1000
2016,Karimnagar,Jowar,Rabi,1787
2017,Karimnagar,Jowar,Kharif,1000
2017,Karimnagar,Jowar,Rabi,1787
2018,Karimnagar,Jowar,Kharif,1000
2018,Karimnagar,Jowar,Rabi,1787
2019,Karimnagar,Jowar,Kharif,1000
2019,Karimnagar,Jowar,Rabi,1787
2020,Karimnagar,Jowar,Kharif,1000
2020,Karimnagar,Jowar,Rabi,1787
2021,Karimnagar,Jowar,Kharif,1000
2021,Karimnagar,Jowar,Rabi,1787
2022,Karimnagar,Jowar,Kharif,1000
2022,Karimnagar,Jowar,Rabi,3112
2023,Karimnagar,Jowar,Kharif,1000
2023,Karimnagar,Jowar,Rabi,3112
2024,Karimnagar,Jowar,Kharif,1000
2024,Karimnagar,Jowar,Rabi,3112
2013,Karimnagar,Maize,Kharif,1250
2013,Karimnagar,Maize,Rabi,1313
2014,Karimnagar,Maize,Kharif,1155
2014,Karimnagar,Maize,Rabi,1227
2015,Karimnagar,Maize,Kharif,1317
2015,Karimnagar,Maize,Rabi,1259
2016,Karimnagar,Maize,Kharif,1393
2016,Karimnagar,Maize,Rabi,1434
2017,Karimnagar,Maize,Kharif,1357
2017,Karimnagar,Maize,Rabi,1476
2018,Karimnagar,Maize,Kharif,1461
2018,Karimnagar,Maize,Rabi,1286
2019,Karimnagar,Maize,Kharif,1793
2019,Karimnagar,Maize,Rabi,1860
2020,Karimnagar,Maize,Kharif,1678
2020,Karimnagar,Maize,Rabi,1702
2021,Karimnagar,Maize,Kharif,1692
2021,Karimnagar,Maize,Rabi,1580
2022,Karimnagar,Maize,Kharif,1960
2022,Karimnagar,Maize,Rabi,2032
2023,Karimnagar,Maize,Kharif,2114
2023,Karimnagar,Maize,Rabi,1890
2024,Karimnagar,Maize,Kharif,2138
2024,Karimnagar,Maize,Rabi,2155
2013,Karimnagar,Moong(Green Gram),Kharif,4548
2013,Karimnagar,Moong(Green Gram),Rabi,4471
2014,Karimnagar,Moong(Green Gram),Kharif,4799
2014,Karimnagar,Moong(Green Gram),Rabi,5223
2015,Karimnagar,Moong(Green Gram),Kharif,7287
2015,Karimnagar,Moong(Green Gram),Rabi,6443
2016,Karimnagar,Moong(Green Gram),Kharif,5350
2016,Karimnagar,Moong(Green Gram),Rabi,6184
2017,Karimnagar,Moong(Green Gram),Kharif,3431
2017,Karimnagar,Moong(Green Gram),Rabi,4424
2018,Karimnagar,Moong(Green Gram),Kharif,4519
2018,Karimnagar,Moong(Green Gram),Rabi,4469
2019,Karimnagar,Moong(Green Gram),Kharif,4519
2019,Karimnagar,Moong(Green Gram),Rabi,4469
2020,Karimnagar,Moong(Green Gram),Kharif,4519
2020,Karimnagar,Moong(Green Gram),Rabi,4469
2021,Karimnagar,Moong(Green Gram),Kharif,4150
2021,Karimnagar,Moong(Green Gram),Rabi,6050
2022,Karimnagar,Moong(Green Gram),Kharif,4666
2022,Karimnagar,Moong(Green Gram),Rabi,4956
2023,Karimnagar,Moong(Green Gram),Kharif,7800
2023,Karimnagar,Moong(Green Gram),Rabi,7018
2024,Karimnagar,Moong(Green Gram),Kharif,7800
2024,Karimnagar,Moong(Green Gram),Rabi,8855
2013,Karimnagar,Mustard,Rabi,1930
2014,Karimnagar,Mustard,Rabi,1930
2015,Karimnagar,Mustard,Rabi,1930
2016,Karimnagar,Mustard,Rabi,1930
2017,Karimnagar,Mustard,Rabi,1930
2018,Karimnagar,Mustard,Rabi,1930
2019,Karimnagar,Mustard,Rabi,4232
2020,Karimnagar,Mustard,Rabi,4232
2021,Karimnagar,Mustard,Rabi,4232
2022,Karimnagar,Mustard,Rabi,5000
2023,Karimnagar,Mustard,Rabi,5000
2024,Karimnagar,Mustard,Rabi,5000
2013,Karimnagar,Onion,Rabi,300
2014,Karimnagar,Onion,Rabi,300
2015,Karimnagar,Onion,Rabi,300
2016,Karimnagar,Onion,Rabi,300
2017,Karimnagar,Onion,Rabi,300
2018,Karimnagar,Onion,Rabi,300
2019,Karimnagar,Onion,Rabi,300
2020,Karimnagar,Onion,Rabi,300
2021,Karimnagar,Onion,Rabi,300
2022,Karimnagar,Onion,Rabi,300
2023,Karimnagar,Onion,Rabi,300
2024,Karimnagar,Onion,Rabi,300
2013,Karimnagar,Potato,Kharif,2475
2013,Karimnagar,Potato,Whole Year,2225
2014,Karimnagar,Potato,Kharif,2475
2014,Karimnagar,Potato,Whole Year,2225
2015,Karimnagar,Potato,Kharif,2475
2015,Karimnagar,Potato,Whole Year,2225
2016,Karimnagar,Potato,Kharif,2475
2016,Karimnagar,Potato,Whole Year,2225
2017,Karimnagar,Potato,Kharif,2475
2017,Karimnagar,Potato,Whole Year,2225
2018,Karimnagar,Potato,Kharif,2475
2018,Karimnagar,Potato,Whole Year,2225
2019,Karimnagar,Potato,Kharif,2475
2019,Karimnagar,Potato,Whole Year,2225
2020,Karimnagar,Potato,Kharif,2475
2020,Karimnagar,Potato,Whole Year,2225
2021,Karimnagar,Potato,Kharif,2475
2021,Karimnagar,Potato,Whole Year,2225
2022,Karimnagar,Potato,Kharif,2475
2022,Karimnagar,Potato,Whole Year,2250
2023,Karimnagar,Potato,Kharif,2475
2023,Karimnagar,Potato,Whole Year,2250
2024,Karimnagar,Potato,Kharif,2475
2024,Karimnagar,Potato,Whole Year,2250
2013,Karimnagar,Rice,Kharif,1750
2013,Karimnagar,Rice,Rabi,2778
2014,Karimnagar,Rice,Kharif,1750
2014,Karimnagar,Rice,Rabi,2778
2015,Karimnagar,Rice,Kharif,1750
2015,Karimnagar,Rice,Rabi,2900
2016,Karimnagar,Rice,Kharif,1750
2016,Karimnagar,Rice,Rabi,2900
2017,Karimnagar,Rice,Kharif,1750
2017,Karimnagar,Rice,Rabi,2900
2018,Karimnagar,Rice,Kharif,1750
2018,Karimnagar,Rice,Rabi,2900
2019,Karimnagar,Rice,Kharif,1750
2019,Karimnagar,Rice,Rabi,2900
2020,Karimnagar,Rice,Kharif,1750
2020,Karimnagar,Rice,Rabi,2900
2021,Karimnagar,Rice,Kharif,1750
2021,Karimnagar,Rice,Rabi,2900
2022,Karimnagar,Rice,Kharif,1750
2022,Karimnagar,Rice,Rabi,2900
2023,Karimnagar,Rice,Kharif,1750
2023,Karimnagar,Rice,Rabi,2900
2024,Karimnagar,Rice,Kharif,1750
2024,Karimnagar,Rice,Rabi,2900
2013,Karimnagar,Safflower,Rabi,2059
2014,Karimnagar,Safflower,Rabi,2059
2015,Karimnagar,Safflower,Rabi,2059
2016,Karimnagar,Safflower,Rabi,2059
2017,Karimnagar,Safflower,Rabi,2059
2018,Karimnagar,Safflower,Rabi,2059
2019,Karimnagar,Safflower,Rabi,2059
2020,Karimnagar,Safflower,Rabi,2059
2021,Karimnagar,Safflower,Rabi,2059
2022,Karimnagar,Safflower,Rabi,2059
2023,Karimnagar,Safflower,Rabi,2059
2024,Karimnagar,Safflower,Rabi,2059
2013,Karimnagar,Sesamum,Kharif,8950
2013,Karimnagar,Sesamum,Rabi,4021
2014,Karimnagar,Sesamum,Kharif,8950
2014,Karimnagar,Sesamum,Rabi,4021
2015,Karimnagar,Sesamum,Kharif,8950
2015,Karimnagar,Sesamum,Rabi,4021
2016,Karimnagar,Sesamum,Kharif,8950
2016,Karimnagar,Sesamum,Rabi,4021
2017,Karimnagar,Sesamum,Kharif,8950
2017,Karimnagar,Sesamum,Rabi,4021
2018,Karimnagar,Sesamum,Kharif,8950
2018,Karimnagar,Sesamum,Rabi,4021
2019,Karimnagar,Sesamum,Kharif,8950
2019,Karimnagar,Sesamum,Rabi,6650
2020,Karimnagar,Sesamum,Kharif,8950
2020,Karimnagar,Sesamum,Rabi,6650
2021,Karimnagar,Sesamum,Kharif,8950
2021,Karimnagar,Sesamum,Rabi,6650
2022,Karimnagar,Sesamum,Kharif,11467
2022,Karimnagar,Sesamum,Rabi,9849
2023,Karimnagar,Sesamum,Kharif,13681
2023,Karimnagar,Sesamum,Rabi,12016
2024,Karimnagar,Sesamum,Kharif,14001
2024,Karimnagar,Sesamum,Rabi,11731
2013,Karimnagar,Soyabean,Kharif,3453
2013,Karimnagar,Soyabean,Rabi,1227
2014,Karimnagar,Soyabean,Kharif,2938
2014,Karimnagar,Soyabean,Rabi,1227
2015,Karimnagar,Soyabean,Kharif,2938
2015,Karimnagar,Soyabean,Rabi,1227
2016,Karimnagar,Soyabean,Kharif,2782
2016,Karimnagar,Soyabean,Rabi,1227
2017,Karimnagar,Soyabean,Kharif,2228
2017,Karimnagar,Soyabean,Rabi,2048
2018,Karimnagar,Soyabean,Kharif,3296
2018,Karimnagar,Soyabean,Rabi,2048
2019,Karimnagar,Soyabean,Kharif,3783
2019,Karimnagar,Soyabean,Rabi,2048
2020,Karimnagar,Soyabean,Kharif,3783
2020,Karimnagar,Soyabean,Rabi,2048
2021,Karimnagar,Soyabean,Kharif,3950
2021,Karimnagar,Soyabean,Rabi,2048
2022,Karimnagar,Soyabean,Kharif,4178
2022,Karimnagar,Soyabean,Rabi,5820
2023,Karimnagar,Soyabean,Kharif,3265
2023,Karimnagar,Soyabean,Rabi,5820
2024,Karimnagar,Soyabean,Kharif,3265
2024,Karimnagar,Soyabean,Rabi,5820
2013,Karimnagar,Sunflower,Rabi,3375
2014,Karimnagar,Sunflower,Rabi,3375
2015,Karimnagar,Sunflower,Rabi,3375
2016,Karimnagar,Sunflower,Rabi,3375
2017,Karimnagar,Sunflower,Rabi,3375
2018,Karimnagar,Sunflower,Rabi,3375
2019,Karimnagar,Sunflower,Rabi,3375
2020,Karimnagar,Sunflower,Rabi,3375
2021,Karimnagar,Sunflower,Rabi,3375
2022,Karimnagar,Sunflower,Rabi,3375
2023,Karimnagar,Sunflower,Rabi,3375
2024,Karimnagar,Sunflower,Rabi,3375
2013,Karimnagar,Turmeric,Kharif,1448
2013,Karimnagar,Turmeric,Rabi,3784
2014,Karimnagar,Turmeric,Kharif,1448
2014,Karimnagar,Turmeric,Rabi,4178
2015,Karimnagar,Turmeric,Kharif,1448
2015,Karimnagar,Turmeric,Rabi,5501
2016,Karimnagar,Turmeric,Kharif,1448
2016,Karimnagar,Turmeric,Rabi,6772
2017,Karimnagar,Turmeric,Kharif,1448
2017,Karimnagar,Turmeric,Rabi,4524
2018,Karimnagar,Turmeric,Kharif,5665
2018,Karimnagar,Turmeric,Rabi,5313
2019,Karimnagar,Turmeric,Kharif,5665
2019,Karimnagar,Turmeric,Rabi,5234
2020,Karimnagar,Turmeric,Kharif,5665
2020,Karimnagar,Turmeric,Rabi,5234
2021,Karimnagar,Turmeric,Kharif,5665
2021,Karimnagar,Turmeric,Rabi,5234
2022,Karimnagar,Turmeric,Kharif,5665
2022,Karimnagar,Turmeric,Rabi,5126
2023,Karimnagar,Turmeric,Kharif,4754
2023,Karimnagar,Turmeric,Rabi,4458
2024,Karimnagar,Turmeric,Kharif,4754
2024,Karimnagar,Turmeric,Rabi,11555
2013,Karimnagar,Urad,Kharif,3940
2013,Karimnagar,Urad,Rabi,3888
2014,Karimnagar,Urad,Kharif,3940
2014,Karimnagar,Urad,Rabi,3888
2015,Karimnagar,Urad,Kharif,3940
2015,Karimnagar,Urad,Rabi,3888
2016,Karimnagar,Urad,Kharif,3700
2016,Karimnagar,Urad,Rabi,3888
2017,Karimnagar,Urad,Kharif,4116
2017,Karimnagar,Urad,Rabi,5112
2018,Karimnagar,Urad,Kharif,4116
2018,Karimnagar,Urad,Rabi,3721
2019,Karimnagar,Urad,Kharif,3650
2019,Karimnagar,Urad,Rabi,2788
2020,Karimnagar,Urad,Kharif,3650
