year,district,crop,season,price
2024,Adilabad,Dry chillies,Kharif,10478
2024,Adilabad,Dry chillies,Rabi,5400
2013,Adilabad,Garlic,Rabi,6040
2014,Adilabad,Garlic,Rabi,6040
2015,Adilabad,Garlic,Rabi,6040
2016,Adilabad,Garlic,Rabi,6040
2017,Adilabad,Garlic,Rabi,6040
2018,Adilabad,Garlic,Rabi,6040
2019,Adilabad,Garlic,Rabi,6040
2020,Adilabad,Garlic,Rabi,6040
2021,Adilabad,Garlic,Rabi,100
2022,Adilabad,Garlic,Rabi,100
2023,Adilabad,Garlic,Rabi,100
2024,Adilabad,Garlic,Rabi,100
2013,Adilabad,Ginger,Kharif,587
2014,Adilabad,Ginger,Kharif,587
2015,Adilabad,Ginger,Kharif,587
2016,Adilabad,Ginger,Kharif,587
2017,Adilabad,Ginger,Kharif,587
2018,Adilabad,Ginger,Kharif,587
2019,Adilabad,Ginger,Kharif,587
2020,Adilabad,Ginger,Kharif,587
2021,Adilabad,Ginger,Kharif,587
2022,Adilabad,Ginger,Kharif,587
2023,Adilabad,Ginger,Kharif,587
2024,Adilabad,Ginger,Kharif,587
2013,Adilabad,Gram,Kharif,5113
2013,Adilabad,Gram,Rabi,2684
2014,Adilabad,Gram,Kharif,5113
2014,Adilabad,Gram,Rabi,2684
2015,Adilabad,Gram,Kharif,5113
2015,Adilabad,Gram,Rabi,3102
2016,Adilabad,Gram,Kharif,5113
2016,Adilabad,Gram,Rabi,3102
2017,Adilabad,Gram,Kharif,5113
2017,Adilabad,Gram,Rabi,5339
2018,Adilabad,Gram,Kharif,3366
2018,Adilabad,Gram,Rabi,3592
2019,Adilabad,Gram,Kharif,3366
2019,Adilabad,Gram,Rabi,4396
2020,Adilabad,Gram,Kharif,3366
2020,Adilabad,Gram,Rabi,4396
2021,Adilabad,Gram,Kharif,3366
2021,Adilabad,Gram,Rabi,4396
2022,Adilabad,Gram,Kharif,3366
2022,Adilabad,Gram,Rabi,5265
2023,Adilabad,Gram,Kharif,4194
2023,Adilabad,Gram,Rabi,4762
2024,Adilabad,Gram,Kharif,4194
2024,Adilabad,Gram,Rabi,5842
2013,Adilabad,Groundnut,Rabi,3197
2014,Adilabad,Groundnut,Rabi,3197
2015,Adilabad,Groundnut,Rabi,3197
2016,Adilabad,Groundnut,Rabi,4933
2017,Adilabad,Groundnut,Rabi,4152
2018,Adilabad,Groundnut,Rabi,3341
2019,Adilabad,Groundnut,Rabi,3341
2020,Adilabad,Groundnut,Rabi,3341
2021,Adilabad,Groundnut,Rabi,3341
2022,Adilabad,Groundnut,Rabi,3341
2023,Adilabad,Groundnut,Rabi,5633
2024,Adilabad,Groundnut,Rabi,5356
2013,Adilabad,Jowar,Kharif,1443
2013,Adilabad,Jowar,Rabi,1100
2014,Adilabad,Jowar,Kharif,1443
2014,Adilabad,Jowar,Rabi,1100
2015,Adilabad,Jowar,Kharif,1443
2015,Adilabad,Jowar,Rabi,1663
2016,Adilabad,Jowar,Kharif,1443
