district,crop,season,yield
Jangoan,Moong(Green Gram),Kharif,0.48
Jangoan,Jowar,Rabi,1.88
Jangoan,Maize,Rabi,6.76
Jangoan,Moong(Green Gram),Rabi,0.61
Jangoan,Onion,Rabi,30.1
Jangoan,Ragi,Kharif,1.67
Jangoan,Rice,Rabi,3.0
Jangoan,Safflower,Rabi,0.99
Jangoan,Onion,Kharif,16.84
Jangoan,Rice,Kharif,2.99
Jangoan,Safflower,Kharif,1.0
Jangoan,Sesamum,Rabi,0.7
Jangoan,Small millets,Rabi,1.0
Jangoan,Soyabean,Rabi,1.75
Jangoan,Sugarcane,Kharif,87.6
Jangoan,Sunflower,Rabi,2.12
Jangoan,Sesamum,Kharif,0.25
Jangoan,Small millets,Kharif,1.21
Jangoan,Soyabean,Kharif,1.46
Jangoan,Sunflower,Kharif,1.85
Jangoan,Sweet potato,Kharif,10.55
Jangoan,Sweet potato,Rabi,10.91
Jangoan,Tobacco,Kharif,3.66
Jangoan,Turmeric,Kharif,6.98
Jangoan,Urad,Kharif,0.81
Jangoan,Wheat,Kharif,2.0
Jangoan,Tobacco,Rabi,3.41
Jangoan,Turmeric,Rabi,7.0
Jangoan,Urad,Rabi,1.36
Jangoan,Wheat,Rabi,2.52
Jayashankar,Arhar/Tur,Rabi,0.78
Jayashankar,Arhar/Tur,Kharif,0.74
Jayashankar,Bajra,Kharif,1.0
Jayashankar,Bajra,Rabi,1.0
Jayashankar,Banana,Kharif,49.73
Jayashankar,Cashewnut,Kharif,0.37
Jayashankar,Castor seed,Rabi,1.38
Jayashankar,Castor seed,Kharif,1.0
Jayashankar,Coriander,Rabi,0.83
Jayashankar,Cowpea(Lobia),Rabi,0.91
Jayashankar,Dry chillies,Rabi,5.41
Jayashankar,Gram,Rabi,1.47
Jayashankar,Groundnut,Rabi,1.93
Jayashankar,Horse-gram,Rabi,0.76
Jayashankar,Jowar,Rabi,2.1
Jayashankar,Maize,Rabi,7.93
Jayashankar,Cowpea(Lobia),Kharif,0.67
Jayashankar,Dry chillies,Kharif,6.27
Jayashankar,Gram,Kharif,1.33
Jayashankar,Groundnut,Kharif,2.68
Jayashankar,Horse-gram,Kharif,1.8
Jayashankar,Jowar,Kharif,0.64
Jayashankar,Maize,Kharif,5.67
Jayashankar,Moong(Green Gram),Rabi,0.91
Jayashankar,Onion,Rabi,30.1
Jayashankar,Ragi,Rabi,0.94
Jayashankar,Moong(Green Gram),Kharif,0.65
Jayashankar,Ragi,Kharif,1.54
Jayashankar,Rice,Kharif,3.08
Jayashankar,Sesamum,Kharif,0.18
Jayashankar,Rice,Rabi,3.38
Jayashankar,Sesamum,Rabi,0.68
Jayashankar,Small millets,Kharif,1.7
Jayashankar,Small millets,Rabi,1.0
Jayashankar,Soyabean,Kharif,1.6
Jayashankar,Soyabean,Rabi,1.5
Jayashankar,Sugarcane,Kharif,84.0
Jayashankar,Sunflower,Rabi,2.13
Jayashankar,Tobacco,Rabi,3.36
Jayashankar,Turmeric,Rabi,7.33
Jayashankar,Urad,Rabi,1.3
Jayashankar,Sunflower,Kharif,3.0
Jayashankar,Tobacco,Kharif,3.84
Jayashankar,Turmeric,Kharif,6.87
Jayashankar,Urad,Kharif,0.87
Jayashankar,Wheat,Rabi,2.0
Jogulamba,Arhar/Tur,Kharif,0.6
Jogulamba,Bajra,Kharif,1.02
Jogulamba,Castor seed,Kharif,0.84
Jogulamba,Cowpea(Lobia),Kharif,0.85
Jogulamba,Dry chillies,Kharif,3.46
Jogulamba,Arhar/Tur,Rabi,0.75
Jogulamba,Bajra,Rabi,2.15
Jogulamba,Banana,Kharif,49.71
Jogulamba,Castor seed,Rabi,0.92
Jogulamba,Coriander,Rabi,0.59
Jogulamba,Cowpea(Lobia),Rabi,1.45
Jogulamba,Dry chillies,Rabi,4.01
Jogulamba,Groundnut,Kharif,1.94
Jogulamba,Horse-gram,Kharif,1.01
Jogulamba,Gram,Rabi,1.07
Jogulamba,Groundnut,Rabi,2.45
Jogulamba,Horse-gram,Rabi,1.02
Jogulamba,Jowar,Rabi,2.03
Jogulamba,Jowar,Kharif,0.93
Jogulamba,Maize,Kharif,3.44
Jogulamba,Moong(Green Gram),Kharif,0.55
Jogulamba,Onion,Kharif,14.62
Jogulamba,Rice,Kharif,2.86
Jogulamba,Maize,Rabi,5.22
Jogulamba,Moong(Green Gram),Rabi,0.96
Jogulamba,Onion,Rabi,27.91
Jogulamba,Ragi,Kharif,1.59
Jogulamba,Rice,Rabi,2.87
Jogulamba,Safflower,Rabi,1.0
Jogulamba,Sesamum,Rabi,0.64
Jogulamba,Small millets,Rabi,0.96
Jogulamba,Sesamum,Kharif,0.25
Jogulamba,Small millets,Kharif,0.97
Jogulamba,Soyabean,Kharif,1.47
Jogulamba,Sunflower,Kharif,1.75
Jogulamba,Tobacco,Kharif,2.23
Jogulamba,Soyabean,Rabi,1.53
Jogulamba,Sugarcane,Kharif,72.82
Jogulamba,Sunflower,Rabi,2.1
Jogulamba,Tobacco,Rabi,2.24
Jogulamba,Urad,Kharif,0.85
Kamareddy,Arhar/Tur,Kharif,1.01
Jogulamba,Urad,Rabi,1.37
Jogulamba,Wheat,Rabi,2.22
Kamareddy,Arhar/Tur,Rabi,1.14
Kamareddy,Bajra,Rabi,0.9
Kamareddy,Banana,Kharif,49.75
Kamareddy,Cashewnut,Kharif,0.5
Kamareddy,Bajra,Kharif,0.83
Kamareddy,Castor seed,Kharif,0.71
Kamareddy,Coriander,Kharif,1.0
Kamareddy,Castor seed,Rabi,1.0
Kamareddy,Coriander,Rabi,0.75
Kamareddy,Cowpea(Lobia),Kharif,0.66
Kamareddy,Dry chillies,Kharif,5.13
Kamareddy,Cowpea(Lobia),Rabi,0.9
Kamareddy,Dry chillies,Rabi,6.24
Kamareddy,Garlic,Rabi,4.5
Kamareddy,Ginger,Kharif,9.21
Kamareddy,Ginger,Rabi,9.0
Kamareddy,Gram,Rabi,1.55
Kamareddy,Groundnut,Kharif,1.91
Kamareddy,Horse-gram,Kharif,1.0
Kamareddy,Jowar,Kharif,0.89
Kamareddy,Groundnut,Rabi,1.85
Kamareddy,Horse-gram,Rabi,1.16
Kamareddy,Jowar,Rabi,2.77
Kamareddy,Maize,Kharif,5.32
Kamareddy,Maize,Rabi,6.5
Kamareddy,Moong(Green Gram),Rabi,0.92
Kamareddy,Onion,Rabi,24.94
Kamareddy,Moong(Green Gram),Kharif,0.84
Kamareddy,Onion,Kharif,16.69
Kamareddy,Potato,Rabi,18.19
Kamareddy,Ragi,Kharif,1.52
Kamareddy,Rice,Rabi,3.95
Kamareddy,Rice,Kharif,3.79
Kamareddy,Sesamum,Kharif,0.17
Kamareddy,Soyabean,Kharif,1.53
Kamareddy,Safflower,Rabi,0.62
Kamareddy,Sesamum,Rabi,0.48
Kamareddy,Small millets,Kharif,1.35
Kamareddy,Soyabean,Rabi,1.4
Kamareddy,Sugarcane,Kharif,86.13
Kamareddy,Sunflower,Rabi,2.04
Kamareddy,Sweet potato,Rabi,9.49
Kamareddy,Sunflower,Kharif,1.36
Kamareddy,Tobacco,Rabi,3.78
Kamareddy,Tobacco,Kharif,2.64
Kamareddy,Turmeric,Kharif,6.66
Kamareddy,Turmeric,Rabi,7.71
Kamareddy,Urad,Rabi,1.43
Kamareddy,Wheat,Rabi,1.69
Karimnagar,Arhar/Tur,Rabi,0.58
Kamareddy,Urad,Kharif,0.89
Karimnagar,Arhar/Tur,Kharif,0.69
Karimnagar,Bajra,Rabi,0.97
Karimnagar,Banana,Whole Year,31.14
Karimnagar,Bajra,Kharif,1.0
Karimnagar,Banana,Kharif,49.98
Karimnagar,Castor seed,Kharif,0.69
Karimnagar,Castor seed,Rabi,0.96
Karimnagar,Coriander,Kharif,0.75
Karimnagar,Coriander,Whole Year,0.49
Karimnagar,Cowpea(Lobia),Rabi,1.44
Karimnagar,Dry chillies,Rabi,5.1
Karimnagar,Coriander,Rabi,0.7
Karimnagar,Cowpea(Lobia),Kharif,0.83
Karimnagar,Dry chillies,Kharif,4.34
Karimnagar,Ginger,Kharif,7.81
Karimnagar,Gram,Kharif,1.35
Karimnagar,Groundnut,Kharif,1.72
Karimnagar,Horse-gram,Kharif,1.23
Karimnagar,Garlic,Rabi,3.76
Karimnagar,Ginger,Rabi,6.5
Karimnagar,Gram,Rabi,1.28
Karimnagar,Groundnut,Rabi,2.1
Karimnagar,Horse-gram,Rabi,1.22
Karimnagar,Jowar,Kharif,0.76
Karimnagar,Jowar,Rabi,2.31
Karimnagar,Maize,Kharif,5.2
Karimnagar,Moong(Green Gram),Kharif,0.59
Karimnagar,Maize,Rabi,6.64
Karimnagar,Moong(Green Gram),Rabi,0.6
Karimnagar,Oilseeds total,Rabi,1.09
Karimnagar,Onion,Rabi,30.12
Karimnagar,Other Kharif pulses,Kharif,0.4
Karimnagar,Oilseeds total,Kharif,1.27
Karimnagar,Onion,Kharif,17.8
Karimnagar,Other Rabi pulses,Rabi,1.61
Karimnagar,Rapeseed &Mustard,Rabi,1.37
Karimnagar,Rice,Rabi,3.76
Karimnagar,Safflower,Rabi,1.0
Karimnagar,Sesamum,Rabi,0.56
Karimnagar,Small millets,Kharif,1.12
Karimnagar,Rice,Kharif,3.36
Karimnagar,Sesamum,Kharif,0.22
Karimnagar,Soyabean,Kharif,1.56
Karimnagar,Soyabean,Rabi,1.67
Karimnagar,Sugarcane,Kharif,80.31
Karimnagar,Sunflower,Rabi,2.04
Karimnagar,Sunflower,Kharif,3.03
Karimnagar,Sweet potato,Kharif,9.57
Karimnagar,Sweet potato,Rabi,11.14
Karimnagar,Tobacco,Kharif,4.02
Karimnagar,Tobacco,Rabi,3.78
Karimnagar,Turmeric,Rabi,7.0
Karimnagar,Urad,Rabi,2.0
Karimnagar,Wheat,Rabi,2.0
Khammam,Arhar/Tur,Rabi,0.84
Khammam,Bajra,Rabi,1.0
Khammam,Banana,Whole Year,31.14
Khammam,Cashewnut,Kharif,0.49
Karimnagar,Turmeric,Kharif,6.79
Karimnagar,Urad,Kharif,0.74
Khammam,Arhar/Tur,Kharif,0.59
Khammam,Bajra,Kharif,1.0
Khammam,Banana,Kharif,49.74
Mahabubabad,Sweet potato,Rabi,9.35
Mahabubabad,Tobacco,Rabi,3.24
Mahabubabad,Turmeric,Rabi,5.0
Mahabubabad,Urad,Rabi,1.27
Mahabubabad,Wheat,Rabi,2.0
Mahbubnagar,Arhar/Tur,Rabi,0.49
Mahbubnagar,Bajra,Kharif,1.08
Mahbubnagar,Banana,Kharif,56.54
Mahbubnagar,Castor seed,Rabi,0.76
Mahbubnagar,Coriander,Rabi,1.0
Mahabubabad,Sesamum,Kharif,0.21
Mahabubabad,Sunflower,Kharif,1.5
Mahabubabad,Sweet potato,Kharif,9.49
Mahabubabad,Tobacco,Kharif,1.2
Mahabubabad,Turmeric,Kharif,6.26
Mahabubabad,Urad,Kharif,0.8
Mahbubnagar,Arhar/Tur,Kharif,0.56
Mahbubnagar,Castor seed,Kharif,0.64
Mahbubnagar,Cowpea(Lobia),Kharif,0.64
Mahbubnagar,Cowpea(Lobia),Rabi,1.7
Mahbubnagar,Dry chillies,Rabi,4.4
Mahbubnagar,Garlic,Rabi,4.0
Mahbubnagar,Dry chillies,Kharif,3.79
Mahbubnagar,Ginger,Kharif,8.0
Mahbubnagar,Gram,Rabi,1.09
Mahbubnagar,Groundnut,Rabi,2.29
Mahbubnagar,Horse-gram,Rabi,1.07
Mahbubnagar,Groundnut,Kharif,2.09
Mahbubnagar,Horse-gram,Kharif,0.94
Mahbubnagar,Jowar,Kharif,0.91
Mahbubnagar,Jowar,Rabi,1.75
Mahbubnagar,Maize,Rabi,5.97
Mahbubnagar,Moong(Green Gram),Rabi,0.8
Mahbubnagar,Oilseeds total,Rabi,1.6
Mahbubnagar,Sweet potato,Kharif,7.0
Mahbubnagar,Tobacco,Kharif,1.83
Mahbubnagar,Turmeric,Kharif,6.24
Mahbubnagar,Urad,Kharif,0.71
Mahbubnagar,Wheat,Kharif,1.0
Mancherial,Arhar/Tur,Kharif,0.84
Mahbubnagar,Sweet potato,Rabi,12.0
Mahbubnagar,Tobacco,Rabi,1.83
Mahbubnagar,Turmeric,Rabi,8.0
Mahbubnagar,Urad,Rabi,1.23
Mahbubnagar,Wheat,Rabi,1.85
Mancherial,Arhar/Tur,Rabi,0.89
Mancherial,Cashewnut,Kharif,0.58
Mancherial,Castor seed,Kharif,0.4
Mancherial,Castor seed,Rabi,0.33
Mancherial,Coriander,Rabi,1.04
Mancherial,Cowpea(Lobia),Rabi,0.92
Mancherial,Cowpea(Lobia),Kharif,0.68
Mancherial,Dry chillies,Kharif,7.44
Mancherial,Groundnut,Kharif,1.8
Mancherial,Dry chillies,Rabi,5.59
Mancherial,Garlic,Rabi,4.0
Mancherial,Gram,Rabi,1.49
Mancherial,Groundnut,Rabi,2.77
Mancherial,Turmeric,Kharif,6.02
Mancherial,Urad,Rabi,1.41
Mancherial,Wheat,Rabi,2.08
Medak,Arhar/Tur,Rabi,0.66
Medak,Bajra,Rabi,2.12
Medak,Banana,Whole Year,31.14
Medak,Cashewnut,Kharif,1.0
Medak,Castor seed,Rabi,0.98
Mancherial,Urad,Kharif,0.79
Medak,Arhar/Tur,Kharif,0.81
Medak,Bajra,Kharif,0.89
Medak,Banana,Kharif,49.69
Medak,Castor seed,Kharif,0.85
Medak,Coriander,Rabi,0.7
Medak,Cowpea(Lobia),Kharif,0.79
Medak,Coriander,Kharif,1.0
Medak,Coriander,Whole Year,0.49
Medak,Cowpea(Lobia),Rabi,1.09
Medak,Dry chillies,Rabi,4.45
Medak,Garlic,Rabi,4.8
Medak,Ginger,Rabi,9.0
Medak,Dry chillies,Kharif,3.22
Medak,Ginger,Kharif,8.06
Mahabubabad,Banana,Kharif,49.73
Mahabubabad,Castor seed,Kharif,0.5
Mahabubabad,Cowpea(Lobia),Rabi,0.83
Mahabubabad,Dry chillies,Rabi,5.57
Mahabubabad,Ginger,Kharif,9.0
Mahabubabad,Gram,Rabi,1.41
Mahabubabad,Groundnut,Rabi,1.68
Mahabubabad,Horse-gram,Rabi,1.17
Mahabubabad,Cowpea(Lobia),Kharif,0.75
Mahabubabad,Dry chillies,Kharif,3.33
Mahabubabad,Groundnut,Kharif,2.69
Mahabubabad,Jowar,Kharif,0.84
Mahabubabad,Maize,Kharif,4.59
Mahabubabad,Jowar,Rabi,0.98
Mahabubabad,Maize,Rabi,6.29
Mahabubabad,Moong(Green Gram),Rabi,0.87
Mahabubabad,Moong(Green Gram),Kharif,0.51
Mahabubabad,Onion,Rabi,30.11
Mahabubabad,Ragi,Kharif,1.6
Mahabubabad,Onion,Kharif,17.8
Mahabubabad,Rice,Kharif,2.91
Mahabubabad,Rice,Rabi,3.25
Mahbubnagar,Maize,Kharif,2.97
Mahbubnagar,Moong(Green Gram),Kharif,0.44
Mahbubnagar,Oilseeds total,Kharif,0.52
Mahbubnagar,Onion,Kharif,16.59
Mahbubnagar,Onion,Rabi,32.74
Mahbubnagar,Potato,Rabi,13.5
Mahbubnagar,Potato,Whole Year,14.5
Mahbubnagar,Ragi,Kharif,1.02
Mahbubnagar,Rice,Kharif,2.72
Mahbubnagar,Safflower,Kharif,1.0
Mahbubnagar,Ragi,Rabi,1.02
Mahbubnagar,Rice,Rabi,2.94
Mahbubnagar,Safflower,Rabi,1.14
Mahbubnagar,Sesamum,Kharif,0.16
Mahbubnagar,Small millets,Kharif,1.16
Mahbubnagar,Sunflower,Kharif,1.47
Mahbubnagar,Sesamum,Rabi,0.74
Mahbubnagar,Small millets,Rabi,0.9
Mahbubnagar,Soyabean,Kharif,1.52
Mahbubnagar,Sugarcane,Kharif,72.28
Mahbubnagar,Sunflower,Rabi,1.74
Medak,Gram,Rabi,1.28
Medak,Gram,Kharif,1.0
Medak,Groundnut,Kharif,1.57
Medak,Groundnut,Rabi,1.72
Medak,Horse-gram,Kharif,0.92
Medak,Jowar,Kharif,0.93
Medak,Maize,Kharif,2.97
Medak,Moong(Green Gram),Kharif,0.47
Medak,Horse-gram,Rabi,1.01
Medak,Jowar,Rabi,2.18
Medak,Linseed,Rabi,0.45
Medak,Maize,Rabi,4.94
Medak,Masoor,Rabi,0.43
Medak,Moong(Green Gram),Rabi,0.81
Medak,Oilseeds total,Rabi,1.15
Medak,Oilseeds total,Kharif,0.94
Medak,Onion,Rabi,31.57
Medak,Onion,Kharif,16.74
Medak,Other Kharif pulses,Kharif,0.69
Mancherial,Horse-gram,Rabi,0.68
Mancherial,Jowar,Rabi,1.77
Mancherial,Horse-gram,Kharif,1.35
Mancherial,Jowar,Kharif,0.99
Mancherial,Maize,Kharif,4.17
Mancherial,Moong(Green Gram),Kharif,0.61
Mancherial,Maize,Rabi,5.94
Mancherial,Moong(Green Gram),Rabi,1.4
Mancherial,Onion,Kharif,17.91
Mancherial,Rice,Kharif,2.59
Mancherial,Sesamum,Kharif,0.21
Mancherial,Soyabean,Kharif,1.56
Mancherial,Onion,Rabi,30.11
Mancherial,Rice,Rabi,3.66
Mancherial,Safflower,Rabi,0.76
Mancherial,Sesamum,Rabi,0.69
Mancherial,Small millets,Kharif,1.67
Mancherial,Soyabean,Rabi,1.67
Mancherial,Sugarcane,Kharif,104.0
Mancherial,Sunflower,Rabi,2.07
Mancherial,Sweet potato,Rabi,11.16
Medak,Potato,Rabi,15.39
Medak,Ragi,Kharif,1.28
Medak,Rice,Kharif,3.5
Medak,Potato,Kharif,11.4
Medak,Potato,Whole Year,12.96
Medak,Ragi,Rabi,1.61
Medak,Rapeseed &Mustard,Rabi,0.75
Medak,Rice,Rabi,3.96
Medak,Safflower,Rabi,0.76
Medak,Sesamum,Kharif,0.14
Medak,Small millets,Kharif,1.12
Medak,Soyabean,Kharif,1.39
Medak,Sunflower,Kharif,1.45
Medak,Sesamum,Rabi,0.56
Medak,Small millets,Rabi,1.0
Medak,Soyabean,Rabi,1.7
Medak,Sugarcane,Kharif,80.84
Medak,Sunflower,Rabi,1.77
Medak,Sweet potato,Rabi,9.68
Mahabubabad,Safflower,Rabi,1.0
Mahabubabad,Sesamum,Rabi,0.69
Mahabubabad,Small millets,Rabi,0.5
Mahabubabad,Soyabean,Kharif,1.51
Mahabubabad,Sugarcane,Kharif,80.94
Mahabubabad,Sunflower,Rabi,2.03
Nizamabad,Oilseeds total,Rabi,0.78
Nizamabad,Onion,Rabi,28.47
Nizamabad,Other Rabi pulses,Rabi,0.93
Nizamabad,Ragi,Rabi,1.52
Nizamabad,Rapeseed &Mustard,Rabi,1.02
Nizamabad,Oilseeds total,Kharif,1.07
Nizamabad,Onion,Kharif,16.7
Nizamabad,Rice,Rabi,3.67
Nizamabad,Safflower,Rabi,1.25
Nizamabad,Sesamum,Rabi,0.7
Nizamabad,Small millets,Kharif,1.02
Nizamabad,Soyabean,Rabi,1.4
Nizamabad,Sugarcane,Kharif,82.28
Nizamabad,Sunflower,Rabi,1.66
Nizamabad,Sweet potato,Rabi,10.55
Nizamabad,Tobacco,Rabi,2.86
Nizamabad,Turmeric,Rabi,5.84
Nizamabad,Rice,Kharif,3.42
Nizamabad,Soyabean,Kharif,1.64
Nizamabad,Tobacco,Kharif,2.89
Nizamabad,Turmeric,Kharif,4.6
Nizamabad,Urad,Kharif,0.59
Nizamabad,Urad,Rabi,1.21
Peddapalli,Arhar/Tur,Kharif,0.8
Nizamabad,Wheat,Rabi,1.8
Peddapalli,Arhar/Tur,Rabi,0.97
Narayanapet,Sesamum,Kharif,0.33
Narayanapet,Soyabean,Kharif,1.5
Narayanapet,Sunflower,Kharif,2.02
Narayanapet,Urad,Kharif,0.81
Nirmal,Arhar/Tur,Kharif,1.05
Narayanapet,Small millets,Kharif,1.17
Narayanapet,Soyabean,Rabi,1.75
Narayanapet,Sugarcane,Kharif,92.03
Narayanapet,Sunflower,Rabi,2.21
Narayanapet,Urad,Rabi,1.66
Narayanapet,Wheat,Rabi,2.0
Nirmal,Arhar/Tur,Rabi,1.01
Nirmal,Bajra,Rabi,1.27
Nirmal,Banana,Kharif,49.74
Nirmal,Castor seed,Rabi,1.02
Nirmal,Coriander,Rabi,0.77
Nirmal,Cowpea(Lobia),Rabi,0.9
Nirmal,Dry chillies,Rabi,5.63
Nirmal,Garlic,Rabi,2.88
Nirmal,Castor seed,Kharif,0.42
Nirmal,Coriander,Kharif,1.0
Nirmal,Cowpea(Lobia),Kharif,0.77
Nirmal,Dry chillies,Kharif,4.14
Nirmal,Ginger,Kharif,9.0
Narayanapet,Groundnut,Rabi,2.08
Narayanapet,Horse-gram,Rabi,1.17
Narayanapet,Jowar,Rabi,0.94
Narayanapet,Maize,Rabi,7.14
Narayanapet,Moong(Green Gram),Rabi,0.85
Narayanapet,Onion,Rabi,29.02
Narayanapet,Cowpea(Lobia),Kharif,0.69
Narayanapet,Dry chillies,Kharif,4.52
Narayanapet,Gram,Kharif,1.0
Narayanapet,Groundnut,Kharif,2.2
Narayanapet,Horse-gram,Kharif,1.18
Narayanapet,Jowar,Kharif,0.89
Narayanapet,Maize,Kharif,3.68
Narayanapet,Moong(Green Gram),Kharif,0.49
Narayanapet,Onion,Kharif,16.66
Narayanapet,Ragi,Kharif,1.16
Narayanapet,Rice,Kharif,2.91
Narayanapet,Ragi,Rabi,1.46
Narayanapet,Rice,Rabi,3.05
Narayanapet,Safflower,Rabi,0.81
Narayanapet,Safflower,Kharif,1.0
Narayanapet,Sesamum,Rabi,0.68
Nirmal,Small millets,Kharif,1.35
Nirmal,Soyabean,Kharif,1.56
Nirmal,Small millets,Rabi,1.0
Nirmal,Soyabean,Rabi,1.34
Nirmal,Sugarcane,Kharif,89.94
Nirmal,Sunflower,Rabi,2.05
Nirmal,Sunflower,Kharif,3.0
Nirmal,Tobacco,Kharif,4.0
Nirmal,Turmeric,Kharif,5.8
Nirmal,Urad,Kharif,0.78
Nizamabad,Arhar/Tur,Kharif,0.91
Nizamabad,Bajra,Kharif,1.01
Nizamabad,Banana,Kharif,49.72
Nizamabad,Castor seed,Kharif,0.76
Nirmal,Tobacco,Rabi,4.03
Nirmal,Turmeric,Rabi,7.38
Nirmal,Urad,Rabi,1.29
Nirmal,Wheat,Rabi,1.48
Nizamabad,Arhar/Tur,Rabi,0.9
Nizamabad,Bajra,Rabi,1.92
Nizamabad,Banana,Whole Year,31.15
Nizamabad,Castor seed,Rabi,1.05
Peddapalli,Cowpea(Lobia),Kharif,0.59
Peddapalli,Dry chillies,Kharif,3.65
Peddapalli,Bajra,Rabi,1.97
Peddapalli,Banana,Kharif,49.73
Peddapalli,Castor seed,Kharif,0.5
Peddapalli,Coriander,Rabi,0.76
Peddapalli,Cowpea(Lobia),Rabi,1.44
Peddapalli,Dry chillies,Rabi,5.32
Peddapalli,Garlic,Rabi,4.0
Peddapalli,Ginger,Kharif,9.17
Peddapalli,Gram,Rabi,1.5
Peddapalli,Groundnut,Rabi,2.29
Peddapalli,Horse-gram,Rabi,1.0
Peddapalli,Jowar,Rabi,2.08
Peddapalli,Maize,Rabi,8.19
Peddapalli,Groundnut,Kharif,2.23
Peddapalli,Horse-gram,Kharif,1.52
Peddapalli,Jowar,Kharif,0.93
Peddapalli,Maize,Kharif,6.47
Peddapalli,Moong(Green Gram),Kharif,0.6
Peddapalli,Moong(Green Gram),Rabi,0.91
Nizamabad,Coriander,Kharif,0.87
Nizamabad,Coriander,Whole Year,0.49
Nizamabad,Cowpea(Lobia),Rabi,1.67
Nizamabad,Dry chillies,Rabi,4.49
Nizamabad,Garlic,Rabi,3.97
Nizamabad,Ginger,Kharif,7.79
Nizamabad,Gram,Rabi,1.31
Nizamabad,Coriander,Rabi,0.95
Nizamabad,Cowpea(Lobia),Kharif,0.68
Nizamabad,Dry chillies,Kharif,4.38
Nizamabad,Groundnut,Rabi,2.48
Nizamabad,Groundnut,Kharif,2.17
Nizamabad,Horse-gram,Kharif,0.58
Nizamabad,Jowar,Kharif,0.85
Nizamabad,Maize,Kharif,5.47
Nizamabad,Moong(Green Gram),Kharif,0.59
Nizamabad,Horse-gram,Rabi,0.98
Nizamabad,Jowar,Rabi,1.73
Nizamabad,Maize,Rabi,6.14
Nizamabad,Moong(Green Gram),Rabi,0.8
Peddapalli,Onion,Kharif,14.08
Peddapalli,Onion,Rabi,30.17
Peddapalli,Ragi,Kharif,1.84
Peddapalli,Rice,Kharif,3.44
Peddapalli,Rice,Rabi,4.08
Peddapalli,Sesamum,Kharif,0.15
Peddapalli,Safflower,Rabi,1.0
Peddapalli,Sesamum,Rabi,0.69
Peddapalli,Small millets,Kharif,1.7
Peddapalli,Soyabean,Rabi,1.35
Peddapalli,Sunflower,Rabi,2.03
Peddapalli,Turmeric,Rabi,7.33
Peddapalli,Urad,Rabi,1.43
Peddapalli,Wheat,Rabi,2.0
Rajanna,Arhar/Tur,Rabi,0.75
Rajanna,Bajra,Kharif,1.0
Peddapalli,Soyabean,Kharif,1.77
Peddapalli,Turmeric,Kharif,7.16
Peddapalli,Urad,Kharif,0.88
Rajanna,Arhar/Tur,Kharif,0.81
Nirmal,Ginger,Rabi,9.0
Nirmal,Gram,Rabi,1.47
Nirmal,Groundnut,Rabi,2.69
Nirmal,Horse-gram,Rabi,1.26
Nirmal,Jowar,Rabi,1.79
Nirmal,Maize,Rabi,8.7
Nirmal,Gram,Kharif,2.0
Nirmal,Groundnut,Kharif,1.64
Nirmal,Horse-gram,Kharif,1.6
Nirmal,Jowar,Kharif,0.94
Nirmal,Maize,Kharif,5.9
Nirmal,Moong(Green Gram),Kharif,0.52
Nirmal,Onion,Kharif,17.85
Nirmal,Ragi,Kharif,1.67
Nirmal,Moong(Green Gram),Rabi,0.97
Nirmal,Onion,Rabi,31.11
Nirmal,Ragi,Rabi,1.09
Nirmal,Rice,Rabi,3.56
Nirmal,Safflower,Rabi,0.86
Nirmal,Rice,Kharif,3.04
Nirmal,Sesamum,Rabi,0.56
Nalgonda,other oilseeds,Kharif,19.97
Narayanapet,Arhar/Tur,Kharif,0.72
Narayanapet,Arhar/Tur,Rabi,0.98
Narayanapet,Bajra,Rabi,2.2
Narayanapet,Bajra,Kharif,1.17
Narayanapet,Castor seed,Kharif,1.01
Narayanapet,Banana,Kharif,48.31
Narayanapet,Castor seed,Rabi,1.32
Narayanapet,Coriander,Rabi,1.0
Narayanapet,Cowpea(Lobia),Rabi,0.88
Narayanapet,Dry chillies,Rabi,5.1
Narayanapet,Garlic,Rabi,4.0
Narayanapet,Gram,Rabi,1.44
Vikarabad,Dry chillies,Kharif,4.49
Vikarabad,Garlic,Kharif,2.0
Vikarabad,Ginger,Kharif,6.7
Vikarabad,Gram,Kharif,1.61
Vikarabad,Dry chillies,Rabi,5.32
Vikarabad,Garlic,Rabi,4.0
Vikarabad,Ginger,Rabi,6.72
Vikarabad,Gram,Rabi,1.44
Vikarabad,Groundnut,Rabi,2.26
Vikarabad,Horse-gram,Rabi,1.11
Vikarabad,Jowar,Rabi,1.59
Vikarabad,Groundnut,Kharif,1.9
Vikarabad,Horse-gram,Kharif,1.03
Vikarabad,Jowar,Kharif,1.1
Vikarabad,Maize,Kharif,4.2
Vikarabad,Maize,Rabi,5.93
Vikarabad,Moong(Green Gram),Rabi,0.97
Vikarabad,Onion,Rabi,36.46
Vikarabad,Moong(Green Gram),Kharif,0.71
Vikarabad,Onion,Kharif,15.71
Vikarabad,Potato,Kharif,24.33
Vikarabad,Potato,Rabi,21.51
Vikarabad,Ragi,Kharif,1.96
Vikarabad,Rice,Kharif,2.88
Suryapet,Arhar/Tur,Kharif,0.67
Siddipet,Wheat,Rabi,1.93
Suryapet,Arhar/Tur,Rabi,0.84
Suryapet,Bajra,Kharif,1.0
Suryapet,Bajra,Rabi,3.0
Suryapet,Banana,Kharif,49.78
Suryapet,Castor seed,Rabi,0.94
