year,district,crop,season,yield
2024,Jagitial,Rice,Kharif,3.62
2024,Jagitial,Rice,Rabi,3.91
2024,Jagitial,Safflower,Rabi,1.0
2024,Jagitial,Sesamum,Rabi,0.71
2024,Jagitial,Soyabean,Kharif,1.66
2024,Jagitial,Soyabean,Rabi,2.0
2024,Jagitial,Sugarcane,Kharif,69.78
2024,Jagitial,Sunflower,Rabi,2.74
2024,Jagitial,Sweet potato,Kharif,12.0
2024,Jagitial,Turmeric,Kharif,10.19
2024,Jagitial,Urad,Kharif,0.88
2024,Jagitial,Urad,Rabi,1.03
2024,Jagitial,Wheat,Rabi,2.01
2024,Jangoan,Arhar/Tur,Kharif,0.78
2024,Jangoan,Arhar/Tur,Rabi,0.82
2024,Jangoan,Bajra,Kharif,1.0
2024,Jangoan,Banana,Kharif,48.28
2024,Jangoan,Castor seed,Kharif,0.84
2024,Jangoan,Castor seed,Rabi,1.42
2024,Jangoan,Coriander,Kharif,1.0
2024,Jangoan,Coriander,Rabi,0.84
2024,Jangoan,Cowpea(Lobia),Kharif,0.85
2024,Jangoan,Cowpea(Lobia),Rabi,0.91
2024,Jangoan,Dry chillies,Kharif,5.24
2024,Jangoan,Dry chillies,Rabi,4.33
2024,Jangoan,Ginger,Kharif,6.6
2024,Jangoan,Ginger,Rabi,9.17
2024,Jangoan,Gram,Kharif,1.0
2024,Jangoan,Gram,Rabi,1.13
2024,Jangoan,Groundnut,Kharif,2.68
2024,Jangoan,Groundnut,Rabi,1.63
2024,Jangoan,Horse-gram,Kharif,1.09
2024,Jangoan,Horse-gram,Rabi,1.1
2024,Jangoan,Jowar,Kharif,0.93
2024,Jangoan,Jowar,Rabi,1.88
2024,Jangoan,Maize,Kharif,5.0
2024,Jangoan,Maize,Rabi,6.76
2024,Jangoan,Moong(Green Gram),Kharif,0.48
2024,Jangoan,Moong(Green Gram),Rabi,0.61
2024,Jangoan,Onion,Kharif,16.84
2024,Jangoan,Onion,Rabi,30.1
2024,Jangoan,Ragi,Kharif,1.67
2024,Jangoan,Rice,Kharif,2.99
2024,Jangoan,Rice,Rabi,3.0
2024,Jangoan,Safflower,Kharif,1.0
2024,Jangoan,Safflower,Rabi,0.99
2024,Jangoan,Sesamum,Kharif,0.25
2024,Jangoan,Sesamum,Rabi,0.7
2024,Jangoan,Small millets,Kharif,1.21
2024,Jangoan,Small millets,Rabi,1.0
2024,Jangoan,Soyabean,Kharif,1.46
2024,Jangoan,Soyabean,Rabi,1.75
2024,Jangoan,Sugarcane,Kharif,87.6
2024,Jangoan,Sunflower,Kharif,1.85
2024,Jangoan,Sunflower,Rabi,2.12
2024,Jangoan,Sweet potato,Kharif,10.55
2024,Jangoan,Sweet potato,Rabi,10.91
2024,Jangoan,Tobacco,Kharif,3.66
2024,Jangoan,Tobacco,Rabi,3.41
2024,Jangoan,Turmeric,Kharif,6.98
2024,Jangoan,Turmeric,Rabi,7.0
2024,Jangoan,Urad,Kharif,0.81
2024,Jangoan,Urad,Rabi,1.36
2024,Jangoan,Wheat,Kharif,2.0
2024,Jangoan,Wheat,Rabi,2.52
2024,Jayashankar,Arhar/Tur,Kharif,0.74
2024,Jayashankar,Arhar/Tur,Rabi,0.78
2024,Jayashankar,Bajra,Kharif,1.0
2024,Jayashankar,Bajra,Rabi,1.0
2024,Jayashankar,Banana,Kharif,49.73
2024,Jayashankar,Cashewnut,Kharif,0.37
2024,Jayashankar,Castor seed,Kharif,1.0
2024,Jayashankar,Castor seed,Rabi,1.38
2024,Jayashankar,Coriander,Rabi,0.83
2024,Jayashankar,Cowpea(Lobia),Kharif,0.67
2024,Jayashankar,Cowpea(Lobia),Rabi,0.91
